2018-09-23 22:25:11,923 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(56) | OpeningPositionDO List for EOD : [OpeningPositionDO [transactionSeq=2, instrumentName=NFLX, accountId=101, accountType=E, openingQuantity=100000000], OpeningPositionDO [transactionSeq=2, instrumentName=NFLX, accountId=201, accountType=I, openingQuantity=-100000000]] 
2018-09-23 22:25:11,924 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(73) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=NFLX, accountId=201, accountType=I, eodQuantity=-100000000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=NFLX, accountId=101, accountType=E, eodQuantity=100000000, deltaQuantity=null]} 
2018-09-23 22:25:11,924 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(79) | EOD key set to be processed : [201I, 101E] 
2018-09-23 22:25:11,924 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(110) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=NFLX, accountId=201, accountType=I, eodQuantity=-100000000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=NFLX, accountId=101, accountType=E, eodQuantity=100000000, deltaQuantity=null]} 
2018-09-23 22:25:11,924 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(114) | SOD Position DO Map for EOD : {201I=OpeningPositionDO [transactionSeq=2, instrumentName=NFLX, accountId=201, accountType=I, openingQuantity=-100000000], 101E=OpeningPositionDO [transactionSeq=2, instrumentName=NFLX, accountId=101, accountType=E, openingQuantity=100000000]} 
2018-09-23 22:25:12,052 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(139) | Leaving processTransaction() 
2018-09-23 22:25:12,053 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.ResponseFeedHandler:generateEODResponseFeed(87) | Entering generateEODResponseFeed() 
2018-09-23 22:25:12,332 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.ResponseFeedHandler:generateEODResponseFeed(128) | Leaaving generateEODResponseFeed() 
2018-09-23 22:25:12,333 | FATAL | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.ResponseFeedHandler:handleEODTransactions(68) | End Of Day Feed has been generated successfully. 
2018-09-23 22:25:12,333 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.ResponseFeedHandler:handleEODTransactions(80) | Leaving handleEODTransactions() 
2018-09-23 22:25:12,333 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.RequestFeedHandler:handleTransactions(66) | Leaving handleTransactions() 
2018-09-23 22:25:12,336 | FATAL | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.RequestFeedHandler:movefileToAcceptPath(102) | 1_Input_Transactions.txt feed file has been processed successfully. 
2018-09-23 22:25:12,337 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.FeedNotificationHandler:processFeed(76) | Leaving processOnlineTransactions() after feed processing for file: 1_Input_Transactions.txt 
2018-09-23 22:25:12,337 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.FeedNotificationHandler:run(45) | Processing finished for feed file: 1_Input_Transactions.txt 
